Density,Slope,Elev.m,Ave.temp,Ave.ppt,Pct.graze,Pct.grass,Road.dens
0.017,34.6,7366,1.5,138.7,0,88.5,0.66
0.03,35.4,7434,1.1,145,0,91.4,0.33
0.016,35.4,6001,3.1,67.3,0,95.9,0.03
0,39.4,6300,2.6,57,0,55.8,0.01
0.051,40.4,5666,4,51.3,0,74.3,0.01
0.079,37.6,5575,4.1,81.5,44.9,100,0.06
0.078,42.4,5106,4.4,79.3,0,100,0.01
0,37,4819,4.8,67.1,1.3,100,1.65
0,40.7,4958,4.2,71.6,0,95.8,0.38
0.024,36.6,5633,3,94,0,89.3,0.01
0.016,33.1,5510,3.8,74,0,100,0.01
0.015,40.2,6049,2.9,75.1,0,92.2,0.02
0,33,5279,3.9,63.1,0,94.6,0.01
0.006,16.2,6157,2.3,81.9,0,100,0.01
0,18.3,6501,1.9,92.2,0,95.7,0.01
0.126,13.5,6305,2.1,90.5,0,95.7,0.01
1.482,18.6,7057,1,116.6,0,81.3,0.01
0.201,22.2,7152,0.9,127.7,0,97.2,0.01
0.092,16.3,6509,1.8,92.4,0,100,0.01
0,38.6,5217,4.1,74.5,0,100,0.28
0,46.3,5064,4.2,70.5,0,100,0.01
0.018,34.7,5846,3.6,90.9,0,100,0.9
0,39.7,5187,4.5,57.9,0,94.5,0.98
0,36.2,4996,5,46.5,0,100,0.61
0.009,38.5,5487,3.9,80.2,0,100,0.25
0,40.2,5543,3.8,77,0,100,0.52
0.017,31.8,6638,2.7,108,0,91.2,0.4
0.087,33.1,7111,1.5,131.6,0,100,0.75
0.001,29.6,6624,2.3,112.7,26.7,99,1.16
0.03,27.9,7460,0.8,149.1,100,100,0.57
0.091,24.8,7466,0.9,148.9,82.9,100,0.62
0,19.4,7272,1.4,134.6,83.8,100,1.57
0.002,27.7,7067,1.9,130.8,0,97.9,0.92
0,16.7,7004,2.1,117.4,93.7,80,1.66
0,16.2,7412,1.6,144.2,100,100,1.77
0,18.9,7290,1.8,138.6,92.1,100,1.07
0,16.9,7074,2.4,116.3,100,96,2.02
0.051,24,6699,2.6,112.6,0,92.7,0.26
0.026,23.4,6920,2.1,117.2,0,98.4,0.14
0.12,22.4,6374,2.9,86.7,0,100,0.46
0,31.1,6518,2.9,108,3.6,89.3,0.11
0.079,24.7,6329,3.1,88.1,1.8,92.1,0.78
0.045,20.8,6388,3.1,85.8,0,44.2,1.21
0.073,33.3,5986,3.6,85.5,3.4,100,0.29
0.093,33.4,7258,1.3,159.3,0,100,0.07
0.003,35,5697,4,67.9,0,94.1,0.3
0,31.9,6781,2.1,131,0,96.6,0.2
0.129,34.2,6666,2.8,107,0,75,0.01
0,29.6,6164,3.6,92.5,0,95,0.25
0.148,34.8,6220,3.4,91.9,2.9,95.6,0.4
0.004,31.6,5809,3.6,88.2,0,100,0.44
0,29.3,4841,4.8,54.3,0,100,1.03
0.003,35.6,6589,3.2,112.7,46,82.3,0.39
0.046,17.5,6543,2.9,114.8,26.3,92.5,0.55
0.016,17.1,6571,2.8,114.2,100,93.3,1.07
0.052,18.6,7038,2.2,120.9,99.2,100,1.19
0,21.1,3193,7.8,62.1,4.4,56.7,1.76
0,21,4666,5.5,70.8,67.4,100,4.61
0,19.8,4699,5.3,73.9,96.7,100,3.91
0,24.1,4453,5.6,72.3,66.7,97.5,3.09
0,35.1,3964,6.3,71.4,32.9,100,1.75
0.052,28,4870,4.9,77.3,78,100,2.69
0,34.1,4929,4.4,86.9,20.3,100,1.72
0.011,30.6,4476,5.2,75.3,36.2,86.7,1.73
0.023,26.4,4929,4.8,82.1,64.2,97.6,2.85
0,25,6955,2.5,118.5,100,100,0.99
0.015,26.4,6696,2.7,116.5,98.2,94.6,0.88
0,13.4,4697,5.3,73.5,42.1,98.6,2.83
0.047,22.8,5622,4,87.8,90.2,79.4,2.82
0.132,35.4,3992,6.3,62.8,73.3,97.8,1.23
0.35,33.7,6050,3.2,103.6,96.6,75.3,0.3
0.032,29.4,6594,2.5,109.1,95.6,91.2,0.15
0.263,35.3,6604,2.5,112.5,66.3,90.2,0.13
0.006,36.8,4858,4.8,106.2,0,100,0.01
0.014,34.4,4830,4.7,98.5,0,100,0.01
0.022,36.6,5340,4,100.9,0,100,0.01
0.022,33.1,5452,3.7,96.4,0,100,0.01
0.008,36.6,5446,4,105.5,0,100,0.01
0.056,29.3,6039,2.4,107.4,0,100,0.01
0.029,28.8,6119,2.7,103.4,0,100,0.01
0.033,32.7,5848,2.8,110.4,0,93.9,0.01
0.006,32,4952,4.8,97.6,0,100,0.35
0.137,30.6,6013,2.5,120.7,0,100,0.01
0.072,25.4,5851,2.6,117.2,0,100,0.4
0.001,37.3,4899,5.1,111.3,0,79.3,1.62
0,41.2,3656,6.7,96.7,0,84.6,2.11
0,36.3,4354,5.5,107.9,0,82.3,0.07
0,34.7,5343,3.5,115.8,0,97.7,0.01
0.004,31.2,4375,5.4,111.2,0,85.5,0.01
0,32,4469,5.5,106.9,0,100,0.04
0,33.9,4622,5.1,109.5,0,93.1,0.01
0,36.5,4206,6,103.4,0,100,0.01
0,33.7,5586,3.3,120.6,0,97.7,0.01
0,33.7,5448,3.4,108.5,1.2,98.8,1.01
0,27.1,5289,3.6,100.8,0,100,2.03
0.004,39.9,4109,5.6,100.5,0,100,2.54
0,33.6,4749,4.7,96.1,0,100,2.09
0,34,3201,7.2,97.3,0,100,3.12
0,25.1,3541,6.9,110.7,30.6,98.6,3.91
0.01,37.2,2892,7.2,109,0,100,2.91
0.004,35.2,3687,6.4,117.7,0,77.4,1.87
0.01,34.9,4873,4.1,127.6,0,67.4,1.68
0,32.4,4184,5.4,135,0,65,1.42
0.02,30.2,4446,5.4,114.4,0,90.9,2.37
0,28.4,4950,4.4,115.7,0,91.6,2.72
0.027,28.8,4892,4.3,129.8,0,97,2.68
0.009,28.8,4776,4.7,103.4,0,29.3,2.85
0.03,26.9,5297,3.8,126.9,0,68.8,2.95
0.018,22.4,6087,2.5,173.4,0,100,1.1
0.012,18.1,5421,3.7,129.5,0,82.9,4.55
0.017,24.2,5728,2.9,151.9,0,84.4,2.73
0.001,25,5498,3.4,131.5,0,75,2
0,34.4,6686,1.6,169.7,0,89.8,0.01
0.004,37.1,6464,2.7,141.2,0,94.4,0.01
0,15.9,6048,2.5,141.8,0,100,0.84
0,35.4,5465,3.6,132.8,0,71.2,0.04
0,17.2,2380,8.5,79.7,2.8,100,1.17
0,24.6,3818,6.6,73.6,96.6,100,3.38
0,20.2,3909,6.4,76.8,70.3,100,3.89
0.025,28.6,4062,6,79.8,43.8,100,2.98
0.06,26.1,4636,4.7,83.7,48.6,100,3.12
0.023,21.1,4623,4.9,88.4,50,100,2.92
0.023,20.1,4861,4.4,90.2,100,100,3.24
0.013,12,4403,4.8,89.7,4.2,100,3.38
0,15.6,4928,4.5,99.4,92.2,100,2.79
0.003,16.2,4998,4.1,88.4,0.8,100,3.39
0.009,16.1,5082,4,92,0,100,3.45
0.052,20.7,5346,3.2,90.4,0,100,2.78
0,18.2,5507,3,92.1,0,100,2.43
0.017,21.9,6509,1.5,97.2,0,100,1.78
0.112,23.7,6393,1.8,93.1,0,100,1.6
0.078,24.5,5152,4,83.8,0,100,2.52
0.025,22.3,4313,5.5,77.3,66.7,100,2.98
0,23.4,6068,2.8,82.3,0,100,0.63
0,25.4,6633,1.8,87.1,0,100,0.01
0.009,25.5,6571,1.7,88.1,0,100,0.01
0.042,30.1,6348,2.6,82.8,69.2,100,0.03
0,6.8,2942,7.2,90.1,75.5,100,2.22
0,20.7,1499,10.9,54.5,0,100,0.9
0.008,20.7,2283,8.8,68.3,0,100,1.77
0,21.8,2105,9.3,69.8,0,100,1.56
0,12.4,3000,7.4,90.2,0,100,2.24
0,12.6,3382,6.8,110.4,30.3,100,2.99
0.005,17,4262,5.5,134.6,0,88.7,3.36
0,13.3,3787,6.4,121.7,95.8,100,4.8
0,17.2,4226,5.7,133.1,10.9,100,3.98
0,15.9,3987,6.4,64.6,0,100,2.59
